wtime,utime,stime,rss,pss,vmem,rchar,wchar,nthreads,nprocs,run_id,anomaly
0.0,1.1546231654665113,0.0797329526106532,208871,201523,450349,54045,29178,3,1,0,0
1.0,1.9936410481757045,0.15075220958575558,207509,197300,412525,104523,61549,4,1,0,0
2.0,3.053020316410763,0.2316771822193712,213635,208752,425228,142341,86951,3,1,0,0
3.0,4.166155578433077,0.3019921397361109,221161,212202,480853,187424,115400,3,1,0,0
4.0,5.211998066134048,0.3837576618166316,210674,200244,384226,240863,147452,3,1,0,0
5.0,6.2102119877950654,0.44205128410344896,217728,205989,410650,296927,175610,3,1,0,0
6.0,7.25715082776534,0.5079042870153948,227047,215639,461884,352473,200783,4,1,0,0
7.0,8.117816311277117,0.5996095753550096,220556,215918,414247,394513,232789,4,1,0,0
8.0,9.004044595409205,0.7375562609139972,227592,219915,471529,446020,266158,3,1,0,0
9.0,9.912004332991742,0.7932853355862257,223024,218234,420543,501098,296023,5,1,0,0
10.0,10.951116069243758,0.8645528062622287,234987,229396,432298,542806,320141,5,1,0,0
11.0,11.927876498741787,1.0053873738163883,242267,231388,456139,592767,352259,3,1,0,0
12.0,12.825666835736122,1.1443888412323804,241508,230330,475552,644136,377279,5,1,0,0
13.0,13.978790568593954,1.2623339245619745,250268,238136,468116,692632,408205,3,1,0,0
14.0,14.928359304711243,1.3363812799714982,250300,237337,464026,733371,435543,4,1,0,0
15.0,15.9067719924032,1.4283623360770767,244765,233203,524804,781743,462063,4,1,0,0
16.0,16.870652423022797,1.4994844355208732,254428,241843,490577,830106,490738,4,1,0,0
17.0,17.7434296051335,1.5623432864333935,242925,237705,472320,879366,520188,5,1,0,0
18.0,18.836080411305595,1.6503431258847827,256719,249392,467771,926549,548255,5,1,0,0
19.0,19.815463716213138,1.7579252863918178,258345,247250,501952,974334,580021,3,1,0,0
20.0,20.621966560170225,1.8439185539382983,262606,249075,500508,1024135,608683,4,1,0,0
21.0,21.807572041114145,1.9550010089848953,254122,249095,519474,1076347,641624,5,1,0,0
22.0,22.933877485752312,2.034626482522826,271710,261112,511400,1124825,672467,5,1,0,0
23.0,24.023301227389034,2.119211535298905,268817,256727,579393,1172777,700374,5,1,0,0
24.0,25.170937975596445,2.248278894463366,263320,257858,571897,1223239,727777,4,1,0,0
25.0,26.333660877038664,2.3861103675527517,270140,260739,497039,1263634,752834,3,1,0,0
26.0,27.26865675959244,2.468313775705857,282603,267661,520827,1316019,783706,4,1,0,0
27.0,28.313040230959118,2.5754653558403846,281949,269327,520514,1366017,812643,5,1,0,0
28.0,29.356563354641356,2.6532815842296116,280091,272063,573578,1416215,835526,5,1,0,0
29.0,30.263483222165593,2.7086150484003544,289515,274654,535253,1471019,863919,5,1,0,0
30.0,31.15226412274442,2.832400766536395,295399,285708,632437,1511255,891216,5,1,0,0
31.0,31.997827024672027,2.8995011148600103,290380,275467,610294,1551385,925943,4,1,0,0
32.0,33.06155270303861,2.992072367234702,286305,277438,609235,1602754,950834,3,1,0,0
33.0,34.17392029945092,3.0907769165726178,290574,278431,584177,1652719,976510,4,1,0,0
34.0,35.27830149125772,3.1592240749905285,298415,288079,656117,1703570,1009840,4,1,0,0
35.0,36.20481164213171,3.218679610056868,302230,293144,549354,1751259,1043911,5,1,0,0
36.0,37.08691558231779,3.303480911523975,305482,289430,598900,1804581,1071676,4,1,0,0
37.0,38.06836125369964,3.448709502279007,296228,288299,571595,1859244,1099779,5,1,0,0
38.0,39.08708663779585,3.560223061277849,297681,290877,648785,1911664,1131628,3,1,0,0
39.0,40.25472148898327,3.6483640841181395,310881,300752,631320,1960360,1154647,5,1,0,0
40.0,41.404650750692895,3.702255166195561,318508,303716,676027,1999821,1179063,4,1,0,0
41.0,42.571074083213624,3.812282494334669,321177,305215,600003,2053668,1208221,5,1,0,0
42.0,43.71117903726802,3.8715082584282063,319757,301672,700734,2109776,1242871,4,1,0,0
43.0,44.89701151904254,3.975762665532959,318493,308660,636812,2162999,1271563,4,1,0,0
44.0,45.88321151791017,4.100957716360133,321863,310583,642911,2208601,1301866,3,1,0,0
45.0,46.702200916883406,4.193316251189612,321581,313593,703734,2261970,1335268,5,1,0,0
46.0,47.5356257297428,4.273257400671264,333087,319357,650285,2316272,1371588,5,1,0,0
47.0,48.49173618645173,4.3279958240530245,337704,318617,661565,2374067,1399858,5,1,0,0
48.0,49.39481102296093,4.380473611569184,338928,323394,689347,2419686,1429807,3,1,0,0
49.0,50.26278725950536,4.473476268533736,336980,322837,623826,2468554,1465273,3,1,0,0
50.0,51.44406876930882,4.6118107956040335,338097,326445,651999,2522290,1490707,5,1,0,0
51.0,52.32223660467307,4.686217073483353,349375,330656,655876,2572577,1523790,3,1,0,0
52.0,53.50598831359917,4.793622624061535,335582,322714,617913,2616990,1550735,4,1,0,0
53.0,54.61032384972765,4.912053206029511,339298,330901,728289,2669064,1581042,4,1,0,0
54.0,55.66670211857774,4.968136192779647,344162,332648,700623,2721957,1610314,5,1,0,0
55.0,56.73710970261349,5.033446230359985,341889,334305,664452,2772397,1637440,5,1,0,0
56.0,57.66969943207714,5.116573909701942,348132,338624,683547,2823495,1664491,5,1,0,0
57.0,58.72827024730045,5.2335832271167995,357221,349974,704657,2872201,1695320,3,1,0,0
58.0,59.60294709461296,5.327486738339609,353661,340670,726157,2929592,1728307,4,1,0,0
59.0,60.778029267627346,5.450906245161434,368331,352341,799539,2975089,1757917,5,1,0,0
