wtime	utime	stime	rss	pss	vmem	rchar	wchar	nthreads	nprocs
0.0	0.8572975537788674	0.0671908695829149	209489	200358	428934	47998	33510	5	1
1.0	2.0050315283035642	0.20734187536918863	205024	199361	413720	107201	61096	3	1
2.0	2.8754905942157487	0.26913837485982617	210645	202130	382188	155559	94023	5	1
3.0	3.786838277820689	0.32157292852534564	220748	209559	472210	206009	122732	4	1
4.0	4.642076193108852	0.44906697333642404	218433	210926	400503	259823	153156	5	1
5.0	5.736294233771956	0.5353179281889421	230999	223158	420139	301241	178998	5	1
6.0	6.714473900674556	0.6249837834091552	221852	217194	423724	351601	207173	5	1
7.0	7.891927916132584	0.7549695378999748	229989	223255	457752	401922	234547	3	1
8.0	8.957657749031744	0.8229631170577096	224930	214643	485426	461234	265224	5	1
9.0	9.970213437226453	0.9379958112098132	232873	225125	492767	505055	295504	3	1
10.0	11.03286580987772	1.0193486440935766	227214	221385	426948	553147	326892	3	1
11.0	11.849035963161585	1.079775490158261	235037	229477	458048	598506	355420	4	1
12.0	13.029300067213061	1.1985250950552697	238999	233442	504788	643334	382629	3	1
13.0	14.21187191137996	1.2803915085103634	243540	232749	489720	698971	413178	4	1
14.0	15.122327858802173	1.4170519189383706	258030	247036	482465	749104	440089	3	1
15.0	16.173646051899425	1.5589554839615607	254606	244639	498627	796326	473324	4	1
16.0	17.054412149555375	1.6938606601536559	255724	245886	524331	843737	502981	4	1
17.0	18.07340086739556	1.776095834897202	252756	246321	553357	890921	532002	4	1
18.0	19.181716563045317	1.8497540973331676	263975	253816	545036	938552	563389	4	1
19.0	20.357645252967473	1.9890341615739477	245697	240315	443847	982229	593160	5	1
20.0	21.29333202227374	2.0843288599615937	271500	256851	565265	1030936	618185	3	1
21.0	22.370734127490845	2.205102832317395	253069	247543	480919	1079140	645001	5	1
22.0	23.457304973229718	2.3378192524584587	261494	252178	560869	1125351	678174	4	1
23.0	24.345764493695615	2.415587917945241	265519	260306	518706	1176126	708426	4	1
24.0	25.397377346292973	2.4774976607387202	279859	266166	526092	1227325	733381	4	1
25.0	26.459545861968085	2.5899804170730487	263573	256732	523767	1274542	764438	3	1
26.0	27.565176304506497	2.698999642649371	277395	262437	527627	1323822	792760	5	1
27.0	28.765155207488313	2.776019649915229	273818	267987	518702	1384615	820136	3	1
28.0	29.581248155258905	2.884490322053763	283283	269068	574868	1445217	846702	5	1
29.0	30.462170172729927	3.0135260475015975	289575	276770	610116	1489946	879701	3	1
30.0	31.320201545497824	3.09852714573601	300941	292179	642204	1535374	903805	5	1
31.0	32.1819751664661	3.1727589176285673	287452	279596	563138	1580077	931292	4	1
32.0	33.16367463071489	3.295259038989523	285803	276324	522084	1635362	961653	4	1
33.0	34.315089253360064	3.4238462406577024	290683	276017	579504	1683370	996388	5	1
34.0	35.29457856098717	3.5692751844445945	298811	283373	589708	1734568	1028049	3	1
35.0	36.36197072012094	3.6340337667363416	290437	282798	545671	1794553	1055511	4	1
36.0	37.31257037713302	3.772960176925161	302317	292337	652539	1844501	1090099	5	1
37.0	38.24043570325747	3.8994700580441513	303455	294760	664464	1898032	1116034	3	1
38.0	39.37412977718908	4.01966004883724	299973	292684	546161	1950634	1146830	3	1
39.0	40.436348781236454	4.1009654117562775	321522	307424	681080	1997693	1178293	4	1
40.0	41.37670689646947	4.153184706875093	306348	296322	630553	2052989	1205650	3	1
41.0	42.54237100096834	4.253939756287037	310662	301902	591680	2098740	1237743	5	1
42.0	43.5417756270154	4.332516693935609	325035	308195	667643	2155440	1266201	5	1
